1Ar_m8ew;Monitoring of Enterprise Benefits System
1Ar_m8qw;Administration of Benefits Plan Participation
1Be_1y63;Procurement of Materials and External Services
1Be_1yk5;Purchase Requisition
1Be_204a;Invoice Verification
1Be_25fz;Service Entry Sheet
1Be_2aze;Purchasing
1Be_2ft2;Return Deliveries
1Be_2fyv;Quality Notification
1Be_2gm6;Shipping
1Be_2kiu;Warehouse
1Be_2n6s;Source Administration
1Be_2n9n;RFQ/Quotation
1Be_2rd6;Pipeline Processing
1Be_2rh8;Pipeline Withdrawal
1Be_2rxu;Invoice Verification
1Be_2sc7;Internal Procurement
1Be_2skz;Purchase Requisition
1Be_2tnc;Invoice Verification
1Be_2vbl;Warehouse/Stores
1Be_2wup;Goods Receipt
1Be_2xk1;Purchasing
1Be_30t8;Procurement on a Consignment Basis
1Be_310v;Purchase Requisition
1Be_322n;Invoice Verification
1Be_32fe;Warehouse/Stores
1Be_343s;Goods Receipt
1Be_34is;Purchasing
1Be_38qs;Procurement via Subcontracting
1Be_394s;Purchase Requisition
1Be_3a62;Invoice Verification
1Be_3bub;Warehouse/Stores
1Be_3e7i;Goods Receipt
1Be_3era;Provision of Components
1Be_8r9o;Physical Inventory and Cycle Counting
1Be_8ri3;Physical Inventory
1En_cmrh;Master Data Processing Product Safety
1En_cmvz;Material Master
1En_cnx7;Information System
1En_co6p;Product Safety
1En_cpez;Occupational Health
1En_cpi3;Injury/Illness Log
1En_cpo4;Protocol
1En_cq52;Industrial Hygiene and Safety
1En_cqab;Work Area
1En_cqec;Standard Operating Procedure
1En_cqu6;Accident
1En_cqx0;Agent
1An_kazo;Asset Maintenance
1An_kex6;Group Requirements
