Finished calculation at: Wed Apr 10 14:51:50 CEST 2013
Time needed for metric calculation: 7 min 56 sec 

Process Model Path;DB ID;Number of Start Events;Number of Internal Events;Number of End Events;Number of Events;Number of Activities;Number of And-Splits;Number of And-Joins;Number of Xor-Splits;Number of Xor-Joins;Number of Or-Splits;Number of Or-Joins;Number of Gateways;Number of Nodes;Number of Edges;Number of Data Nodes;Number of Roles;Diameter;Density;Density related to number of Gateways;Coefficient of Connectivity;Coefficient of Network Complexity;Cyclomatic Number;Average Connector Degree;Maximum Connector Degree;Separability;Depth;Cycling;Controlflow Complexity;Cross Connectivity
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev6.json;#7:8;1;0;0;1;3;0;0;1;0;0;0;1;5;3;0;0;2;0,15;0,0;0,6;1,8;3;3,0;3;0,0;0;0,0;2;0,05092592592592593
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev2.json;#7:17;2;0;0;2;3;0;0;1;0;0;0;1;6;3;0;0;2;0,1;0,0;0,5;1,5;4;3,0;3;0,0;0;0,0;2;0,03492063492063492
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev5.json;#7:21;1;0;0;1;3;0;0;1;0;0;0;1;5;3;0;0;2;0,15;0,0;0,6;1,8;3;3,0;3;0,0;0;0,0;2;0,05092592592592593
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\59988072\BPMN2.0_Process\2010-06-09_ICSOC 2010 Process\361321534_rev1.json;#7:2;1;0;0;1;2;0;0;0;0;0;0;0;3;0;1;0;0;0,0;0,0;0,0;0,0;3;0,0;0;0,0;0;0,0;0;0,0
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev1.json;#7:11;1;0;0;1;3;0;0;1;0;0;0;1;5;3;0;0;2;0,15;0,0;0,6;1,8;3;3,0;3;0,0;0;0,0;2;0,05092592592592593
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev7.json;#7:28;0;0;0;0;3;0;0;1;0;0;0;1;4;3;0;0;2;0,25;0,0;0,75;2,25;2;3,0;3;1,0;0;0,0;2;0,08148148148148149
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev9.json;#7:12;0;1;0;1;3;0;0;1;0;0;0;1;5;3;0;0;2;0,15;0,0;0,6;1,8;3;3,0;3;0,0;0;0,0;2;0,05092592592592593
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev3.json;#7:6;2;0;0;2;3;0;0;1;0;0;0;1;6;3;0;0;2;0,1;0,0;0,5;1,5;4;3,0;3;0,0;0;0,0;2;0,03492063492063492
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev8.json;#7:31;0;1;0;1;3;0;0;1;0;0;0;1;5;3;0;0;2;0,15;0,0;0,6;1,8;3;3,0;3;0,0;0;0,0;2;0,05092592592592593
C:\Users\rami.eidsabbagh\git\promnicat\resources\2011-04-19_signavio_academic_processes\1345128723\BPMN2.0_Process\2011-01-12_Volley Tennis Club\495102203_rev12.json;#7:26;0;1;0;1;3;0;0;1;1;0;0;3;6;4;0;0;3;0,13333333333333333;0,09090909090909091;0,6666666666666666;2,6666666666666665;4;1,6666666666666667;3;0,0;1;0,0;2;0,04285714285714286
